MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
101,7.11E-65,2.47E-33,1.26E-66,5.45E-33,0.099580979,0,0.001243942,-12569.4361,0,4.44E-16,0,5.12E-05,0.000738909,0.998003968,0.000583975,-1.031571182,0.485194477,3.00204884,-3.813681707,-2.95552663,-10.13612054,-10.386988,-10.52843017
102,1.39E-65,5.67E-34,2.87E-67,5.03E-33,0.099574129,0,0.001239772,-12569.43651,0,4.44E-16,0,4.96E-05,0.000736576,0.998003963,0.000581934,-1.031571183,0.485127459,3.002048671,-3.813685573,-2.957643118,-10.13612165,-10.38701402,-10.52843378
103,5.09E-68,5.60E-34,5.45E-68,5.03E-33,0.099330129,0,0.001239772,-12569.43653,0,4.44E-16,0,4.92E-05,0.000736442,0.998003963,0.000581869,-1.031571483,0.484911461,3.002018021,-3.813717154,-2.958577067,-10.13618706,-10.38703313,-10.52845964
104,8.89E-69,1.57E-34,3.15E-68,2.26E-33,0.095752939,0,0.001239772,-12569.43722,0,4.44E-16,0,4.11E-05,0.000730682,0.998003963,0.000581712,-1.031571542,0.484748938,3.002017979,-3.813729666,-2.95883768,-10.13624035,-10.387061,-10.52846252
105,1.45E-69,7.49E-35,4.58E-69,1.04E-33,0.09569481,0,0.001237176,-12569.43738,0,4.44E-16,0,3.99E-05,0.000718237,0.998003963,0.000581626,-1.031571671,0.484748443,3.002001058,-3.813827045,-2.958915865,-10.13624039,-10.38709711,-10.52849156
106,1.07E-69,3.71E-35,3.75E-70,2.65E-34,0.092940567,0,0.001231923,-12569.45313,0,4.44E-16,0,3.98E-05,0.000717972,0.998003963,0.000578998,-1.031572528,0.484738538,3.001962779,-3.813848925,-2.959140349,-10.13625072,-10.38868802,-10.52849724
107,6.46E-71,3.53E-35,2.62E-70,2.15E-35,0.092823994,0,0.001231921,-12569.45755,0,4.44E-16,0,3.88E-05,0.000717839,0.998003963,0.000572568,-1.031573088,0.484709552,3.001513541,-3.813958559,-2.96056726,-10.13625167,-10.38869406,-10.528501
108,3.20E-71,1.59E-35,1.36E-70,2.12E-35,0.092758017,0,0.001231921,-12569.45874,0,4.44E-16,0,3.79E-05,0.000717505,0.998003963,0.000570585,-1.031573231,0.484708515,3.001495627,-3.813983228,-2.96070848,-10.13636641,-10.38893944,-10.52855263
109,2.94E-71,1.03E-35,2.68E-71,7.38E-36,0.092733904,0,0.001222971,-12569.45895,0,4.44E-16,0,3.78E-05,0.000702488,0.998003963,0.000570553,-1.031574647,0.484693258,3.001488874,-3.814167926,-2.961411276,-10.13649832,-10.38893963,-10.52857169
110,1.75E-71,1.03E-35,2.25E-71,7.36E-36,0.092728972,0,0.001222971,-12569.45895,0,4.44E-16,0,3.78E-05,0.00068973,0.998003963,0.000567712,-1.031574679,0.484674084,3.001488557,-3.814171694,-2.961966976,-10.13659602,-10.38893966,-10.52858496
111,5.17E-72,7.93E-36,4.04E-72,9.35E-38,0.09270533,0,0.001222971,-12569.45907,0,4.44E-16,0,3.62E-05,0.000689463,0.998003963,0.000562707,-1.031583581,0.484510215,3.00144126,-3.814235723,-2.96264184,-10.13792584,-10.38893976,-10.52858612
112,1.05E-72,2.85E-37,1.05E-72,9.24E-38,0.092641977,0,0.001222971,-12569.45909,0,4.44E-16,0,3.61E-05,0.000689444,0.998003963,0.000561688,-1.031583791,0.484174151,3.001440663,-3.814240775,-2.962656126,-10.13792586,-10.3889413,-10.52858981
113,2.71E-73,8.63E-38,2.35E-74,6.96E-38,0.092641473,0,0.001186855,-12569.45932,0,4.44E-16,0,3.59E-05,0.000687347,0.998003869,0.000561127,-1.031587577,0.48405914,3.001423062,-3.814274671,-2.962916776,-10.13792908,-10.38895418,-10.52928782
114,4.97E-74,5.27E-38,1.35E-74,3.91E-38,0.09262129,0,0.001186855,-12569.4594,0,4.44E-16,0,3.59E-05,0.000679969,0.998003869,0.000560101,-1.03158855,0.484035635,3.001398597,-3.814276131,-2.962947662,-10.13885196,-10.38895631,-10.5292981
115,2.19E-74,4.60E-38,1.12E-74,3.43E-38,0.092609431,0,0.001186855,-12569.4594,0,4.44E-16,0,3.59E-05,0.000678422,0.998003868,0.000559749,-1.031588877,0.484030021,3.001379319,-3.814283708,-2.963348098,-10.13887602,-10.3890488,-10.5298469
116,2.37E-75,3.27E-38,2.86E-76,2.34E-38,0.092494586,0,0.001186855,-12569.45942,0,4.44E-16,0,3.56E-05,0.000641326,0.998003868,0.000559644,-1.031595195,0.483862248,3.001228734,-3.814379833,-2.963407075,-10.13887702,-10.39018378,-10.52984796
117,4.59E-76,2.99E-38,2.85E-76,1.59E-38,0.092459426,0,0.001186855,-12569.46009,0,4.44E-16,0,3.54E-05,0.000640317,0.998003868,0.000559521,-1.031595236,0.483834579,3.001225446,-3.814399464,-2.963512477,-10.13888711,-10.3902295,-10.53019712
118,2.27E-77,1.81E-38,5.83E-77,1.64E-39,0.092451156,0,0.001186855,-12569.4601,0,4.44E-16,0,3.50E-05,0.000637698,0.998003868,0.000558655,-1.031595255,0.483610978,3.001217436,-3.814410861,-2.96368165,-10.13888712,-10.39067462,-10.53019865
119,9.81E-78,3.68E-39,6.86E-78,1.38E-39,0.092450578,0,0.001186855,-12569.46017,0,4.44E-16,0,3.50E-05,0.000553035,0.998003868,0.000558579,-1.031601501,0.48297438,3.001216057,-3.814928899,-2.963879119,-10.13888926,-10.39067465,-10.53019903
120,1.15E-78,3.17E-39,1.96E-79,1.38E-39,0.071807156,0,0.001184346,-12569.4602,0,4.44E-16,0,3.05E-05,0.000552609,0.998003868,0.000558354,-1.031602578,0.482973072,3.001215669,-3.814939263,-2.964670269,-10.13888933,-10.39067731,-10.53020503
121,1.01E-78,1.37E-39,1.76E-79,4.55E-40,0.071797002,0,0.001184346,-12569.46022,0,4.44E-16,0,3.04E-05,0.000542239,0.998003868,0.000558163,-1.031602798,0.479789533,3.001208834,-3.814941891,-2.964865012,-10.13890799,-10.39067741,-10.53024021
122,3.30E-79,1.22E-39,2.97E-80,3.32E-41,0.071034621,0,0.001184346,-12569.46066,0,4.44E-16,0,3.01E-05,0.000521263,0.998003867,0.000558007,-1.031602865,0.479785441,3.001199518,-3.814947273,-2.96500095,-10.1390155,-10.39069583,-10.53130795
123,5.90E-80,5.42E-40,1.63E-81,3.32E-41,0.071031784,0,0.001183249,-12569.46066,0,4.44E-16,0,2.99E-05,0.000519768,0.998003867,0.000557922,-1.031602871,0.479784848,3.001109377,-3.815006548,-2.965134937,-10.13952456,-10.39069728,-10.53131029
124,1.20E-80,7.14E-41,2.09E-82,2.32E-41,0.071009379,0,0.001182201,-12569.46251,0,4.44E-16,0,2.99E-05,0.000499093,0.998003867,0.000557226,-1.031602892,0.479741782,3.001039725,-3.815007371,-2.965500741,-10.13952564,-10.39069731,-10.53131327
125,2.44E-81,3.37E-41,6.58E-83,5.23E-42,0.070994447,0,0.001182201,-12569.46257,0,4.44E-16,0,2.97E-05,0.000494707,0.998003867,0.000552637,-1.031603285,0.47951017,3.001039286,-3.815008588,-2.96554116,-10.13960299,-10.39069802,-10.531314
126,3.07E-82,3.92E-42,4.91E-83,5.23E-42,0.070993966,0,0.001182201,-12569.4627,0,4.44E-16,0,2.95E-05,0.000490336,0.998003867,0.000545786,-1.031603868,0.479501099,3.001016719,-3.815050657,-2.965591163,-10.13964825,-10.39076766,-10.53132673
127,9.60E-85,3.65E-42,2.73E-83,3.66E-42,0.070992303,0,0.001173077,-12569.46321,0,4.44E-16,0,2.95E-05,0.000485516,0.998003867,0.000545698,-1.031604223,0.479491529,3.000903794,-3.815055992,-2.965792421,-10.14112245,-10.39076767,-10.53132681
128,9.28E-85,4.95E-43,9.48E-85,1.75E-42,0.070991347,0,0.001172152,-12569.46323,0,4.44E-16,0,2.92E-05,0.00048544,0.998003867,0.000543913,-1.031604662,0.479416368,3.000863512,-3.815063288,-2.966083852,-10.14112245,-10.39076812,-10.53132848
129,2.21E-86,2.75E-44,1.36E-85,1.48E-43,0.069769814,0,0.001156419,-12569.46323,0,4.44E-16,0,2.91E-05,0.000468383,0.998003867,0.000543907,-1.031604852,0.479394785,3.000859364,-3.815116972,-2.966259719,-10.14246349,-10.39076834,-10.53134706
